country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
Birmingham,,Asian/Asian British - Any other Asian background,,Asian,Article for use in theft,"{'latitude': '52.473004', 'street': {'id': 1256035, 'name': 'On or near Birchall Street'}, 'longitude': '-1.886746'}"
Birmingham,18-24,Asian/Asian British - Pakistani,,Asian,Controlled drugs,"{'latitude': '52.473004', 'street': {'id': 1256035, 'name': 'On or near Birchall Street'}, 'longitude': '-1.886746'}"
Birmingham,25-34,Asian/Asian British - Pakistani,,Asian,Offensive weapons,"{'latitude': '52.493344', 'street': {'id': 1258647, 'name': 'On or near New John Street West'}, 'longitude': '-1.902512'}"
Birmingham,25-34,Asian/Asian British - Any other Asian background,,Asian,Article for use in theft,"{'latitude': '52.473004', 'street': {'id': 1256035, 'name': 'On or near Birchall Street'}, 'longitude': '-1.886746'}"
Birmingham,18-24,Black/African/Caribbean/Black British - Caribbean,,,Controlled drugs,"{'latitude': '52.492383', 'street': {'id': 1258595, 'name': 'On or near Uxbridge Street'}, 'longitude': '-1.903310'}"
Birmingham,over 34,Other ethnic group - Not stated,,,Stolen goods,"{'latitude': '52.477845', 'street': {'id': 1255935, 'name': 'On or near Navigation Street'}, 'longitude': '-1.902119'}"
Birmingham,,Black/African/Caribbean/Black British - African,,,Stolen goods,"{'latitude': '52.487601', 'street': {'id': 1258597, 'name': 'On or near Constitution Hill'}, 'longitude': '-1.904425'}"
Birmingham,18-24,Black/African/Caribbean/Black British - Caribbean,,,Controlled drugs,"{'latitude': '52.496317', 'street': {'id': 1258678, 'name': 'On or near Summer Croft'}, 'longitude': '-1.898867'}"
Birmingham,18-24,Asian/Asian British - Pakistani,,Asian,Controlled drugs,"{'latitude': '52.480404', 'street': {'id': 1255840, 'name': 'On or near Mill Burn Way'}, 'longitude': '-1.870412'}"
Birmingham,18-24,Asian/Asian British - Pakistani,,Asian,Controlled drugs,"{'latitude': '52.479840', 'street': {'id': 1255838, 'name': 'On or near Witton Street'}, 'longitude': '-1.872814'}"
Birmingham,18-24,Asian/Asian British - Pakistani,,,Controlled drugs,"{'latitude': '52.480404', 'street': {'id': 1255840, 'name': 'On or near Mill Burn Way'}, 'longitude': '-1.870412'}"
Birmingham,10-17,Asian/Asian British - Indian,,,Stolen goods,"{'latitude': '52.479343', 'street': {'id': 1256009, 'name': 'On or near Conference/Exhibition Centre'}, 'longitude': '-1.898111'}"
Birmingham,,White - English/Welsh/Scottish/Northern Irish/British,,,Controlled drugs,"{'latitude': '52.493367', 'street': {'id': 1258734, 'name': 'On or near Attenborough Close'}, 'longitude': '-1.897784'}"
Birmingham,,,,,Controlled drugs,"{'latitude': '52.472248', 'street': {'id': 1256033, 'name': 'On or near Cheapside'}, 'longitude': '-1.885909'}"
Birmingham,18-24,Asian/Asian British - Indian,,Asian,Controlled drugs,"{'latitude': '52.476815', 'street': {'id': 1255961, 'name': 'On or near Shopping Area'}, 'longitude': '-1.895378'}"
Birmingham,18-24,Asian/Asian British - Pakistani,,Asian,Controlled drugs,"{'latitude': '52.480744', 'street': {'id': 1255842, 'name': 'On or near Isbourne Way'}, 'longitude': '-1.869101'}"
Birmingham,18-24,Other ethnic group - Not stated,,Asian,Controlled drugs,"{'latitude': '52.480744', 'street': {'id': 1255842, 'name': 'On or near Isbourne Way'}, 'longitude': '-1.869101'}"
Birmingham,,Asian/Asian British - Any other Asian background,,,Controlled drugs,"{'latitude': '52.479224', 'street': {'id': 1255959, 'name': 'On or near Shopping Area'}, 'longitude': '-1.895697'}"
Birmingham,,White - English/Welsh/Scottish/Northern Irish/British,,,Controlled drugs,"{'latitude': '52.480100', 'street': {'id': 1256001, 'name': ""On or near Bennett'S Hill""}, 'longitude': '-1.900392'}"
Birmingham,10-17,White - English/Welsh/Scottish/Northern Irish/British,,,Offensive weapons,"{'latitude': '52.480611', 'street': {'id': 1255980, 'name': 'On or near Temple Row'}, 'longitude': '-1.898815'}"
Birmingham,over 34,Other ethnic group - Not stated,,,Stolen goods,"{'latitude': '52.483135', 'street': {'id': 1255964, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-1.895820'}"
Birmingham,over 34,White - English/Welsh/Scottish/Northern Irish/British,,,Stolen goods,"{'latitude': '52.483135', 'street': {'id': 1255964, 'name': 'On or near Pedestrian Subway'}, 'longitude': '-1.895820'}"
Birmingham,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Other,Controlled drugs,"{'latitude': '52.492188', 'street': {'id': 1258588, 'name': 'On or near Hadfield Croft'}, 'longitude': '-1.906624'}"
