country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons,"{'latitude': '51.324047', 'street': {'id': 1153861, 'name': 'On or near Supermarket'}, 'longitude': '-0.574165'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.303131', 'street': {'id': 1152958, 'name': 'On or near Sports/Recreation Area'}, 'longitude': '-0.557297'}"
surrey,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft,"{'latitude': '51.319317', 'street': {'id': 1153798, 'name': 'On or near Shopping Area'}, 'longitude': '-0.558770'}"
surrey,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Article for use in theft,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.303131', 'street': {'id': 1152958, 'name': 'On or near Sports/Recreation Area'}, 'longitude': '-0.557297'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.320786', 'street': {'id': 1153802, 'name': 'On or near West Street'}, 'longitude': '-0.558279'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Articles for use in criminal damage,"{'latitude': '51.320786', 'street': {'id': 1153802, 'name': 'On or near West Street'}, 'longitude': '-0.558279'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.303131', 'street': {'id': 1152958, 'name': 'On or near Sports/Recreation Area'}, 'longitude': '-0.557297'}"
surrey,18-24,Black/African/Caribbean/Black British - African,Male,Black,Offensive weapons,"{'latitude': '51.319464', 'street': {'id': 1153963, 'name': 'On or near The Broadway'}, 'longitude': '-0.555364'}"
surrey,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Articles for use in criminal damage,"{'latitude': '51.321290', 'street': {'id': 1153803, 'name': 'On or near Victoria Way'}, 'longitude': '-0.559067'}"
surrey,over 34,Other ethnic group - Not stated,Male,Black,Articles for use in criminal damage,"{'latitude': '51.326902', 'street': {'id': 1155399, 'name': 'On or near Church Road'}, 'longitude': '-0.564259'}"
surrey,18-24,White - Any other White background,Female,White,Controlled drugs,"{'latitude': '51.321958', 'street': {'id': 1153680, 'name': 'On or near Sports/Recreation Area'}, 'longitude': '-0.579855'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.303131', 'street': {'id': 1152958, 'name': 'On or near Sports/Recreation Area'}, 'longitude': '-0.557297'}"
surrey,18-24,Asian/Asian British - Any other Asian background,Male,Asian,Offensive weapons,"{'latitude': '51.308070', 'street': {'id': 1152812, 'name': 'On or near Elmbridge Lane'}, 'longitude': '-0.553082'}"
surrey,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.303131', 'street': {'id': 1152958, 'name': 'On or near Sports/Recreation Area'}, 'longitude': '-0.557297'}"
surrey,over 34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Anything to threaten or harm anyone,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
surrey,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Anything to threaten or harm anyone,"{'latitude': '51.318600', 'street': {'id': 1488198, 'name': 'Woking (Station)'}, 'longitude': '-0.557111'}"
