country,age_range,self_defined_ethnicity,gender,officer_defined_ethnicity,object_of_search,location
london,25-34,Other ethnic group - Any other ethnic group,Male,Other,Controlled drugs,"{'latitude': '51.514988', 'street': {'id': 956533, 'name': 'On or near Carlisle Street'}, 'longitude': '-0.133380'}"
london,18-24,Asian/Asian British - Indian,Female,White,Controlled drugs,"{'latitude': '51.510006', 'street': {'id': 956472, 'name': 'On or near Piccadilly Circus'}, 'longitude': '-0.135054'}"
london,10-17,Other ethnic group - Not stated,Other,,Controlled drugs,"{'latitude': '51.506818', 'street': {'id': 956679, 'name': 'On or near Piccadilly'}, 'longitude': '-0.142735'}"
london,25-34,White - Any other White background,Male,White,Stolen goods,"{'latitude': '51.515915', 'street': {'id': 956514, 'name': 'On or near Falconberg Mews'}, 'longitude': '-0.131209'}"
london,over 34,Other ethnic group - Any other ethnic group,Male,,Controlled drugs,"{'latitude': '51.509991', 'street': {'id': 956192, 'name': 'On or near Chandos Place'}, 'longitude': '-0.125096'}"
london,18-24,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.516769', 'street': {'id': 956610, 'name': 'On or near Tottenham Court Road'}, 'longitude': '-0.130583'}"
london,18-24,White - English/Welsh/Scottish/Northern Irish/British,Female,White,Controlled drugs,"{'latitude': '51.515915', 'street': {'id': 956514, 'name': 'On or near Falconberg Mews'}, 'longitude': '-0.131209'}"
london,25-34,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.507473', 'street': {'id': 956299, 'name': 'On or near Northumberland Street'}, 'longitude': '-0.125675'}"
london,18-24,Asian/Asian British - Bangladeshi,Male,Asian,Controlled drugs,"{'latitude': '51.507378', 'street': {'id': 956665, 'name': 'On or near Charing Cross'}, 'longitude': '-0.128186'}"
london,,Other ethnic group - Not stated,Male,White,Offensive weapons,"{'latitude': '51.513734', 'street': {'id': 956189, 'name': 'On or near Drury Lane'}, 'longitude': '-0.120158'}"
london,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.496909', 'street': {'id': 953283, 'name': 'On or near Great Peter Street'}, 'longitude': '-0.129739'}"
london,over 34,Other ethnic group - Not stated,Male,Black,Controlled drugs,"{'latitude': '51.497183', 'street': {'id': 953270, 'name': ""On or near Perkin'S Rents""}, 'longitude': '-0.132249'}"
london,25-34,Other ethnic group - Not stated,Male,Asian,Controlled drugs,"{'latitude': '51.507378', 'street': {'id': 956665, 'name': 'On or near Charing Cross'}, 'longitude': '-0.128186'}"
london,18-24,Mixed/Multiple ethnic groups - White and Asian,Male,Other,Controlled drugs,"{'latitude': '51.507378', 'street': {'id': 956665, 'name': 'On or near Charing Cross'}, 'longitude': '-0.128186'}"
london,,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Stolen goods,"{'latitude': '51.507569', 'street': {'id': 956649, 'name': 'On or near Waterloo Place'}, 'longitude': '-0.132833'}"
london,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,Black,Controlled drugs,"{'latitude': '51.507569', 'street': {'id': 956649, 'name': 'On or near Waterloo Place'}, 'longitude': '-0.132833'}"
london,18-24,Other ethnic group - Not stated,Male,Asian,Controlled drugs,"{'latitude': '51.494853', 'street': {'id': 953415, 'name': 'On or near Horseferry Road'}, 'longitude': '-0.128829'}"
london,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Other,Offensive weapons,"{'latitude': '51.498328', 'street': {'id': 953294, 'name': 'On or near Abbey Orchard Street'}, 'longitude': '-0.131338'}"
london,25-34,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.509962', 'street': {'id': 956438, 'name': 'On or near Whitcomb Street'}, 'longitude': '-0.131179'}"
london,25-34,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.511456', 'street': {'id': 956495, 'name': 'On or near Lisle Street'}, 'longitude': '-0.130700'}"
london,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Controlled drugs,"{'latitude': '51.507569', 'street': {'id': 956649, 'name': 'On or near Waterloo Place'}, 'longitude': '-0.132833'}"
london,18-24,Black/African/Caribbean/Black British - Caribbean,Male,Black,Offensive weapons,"{'latitude': '51.498328', 'street': {'id': 953294, 'name': 'On or near Abbey Orchard Street'}, 'longitude': '-0.131338'}"
london,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Black,Controlled drugs,"{'latitude': '51.507378', 'street': {'id': 956665, 'name': 'On or near Charing Cross'}, 'longitude': '-0.128186'}"
london,25-34,Asian/Asian British - Pakistani,Male,Other,Controlled drugs,"{'latitude': '51.499482', 'street': {'id': 953269, 'name': 'On or near Petty France'}, 'longitude': '-0.136016'}"
london,18-24,White - Any other White background,Male,White,Controlled drugs,"{'latitude': '51.509962', 'street': {'id': 956438, 'name': 'On or near Whitcomb Street'}, 'longitude': '-0.131179'}"
london,25-34,Other ethnic group - Not stated,Male,White,Controlled drugs,"{'latitude': '51.511715', 'street': {'id': 956493, 'name': 'On or near Little Newport Street'}, 'longitude': '-0.128902'}"
london,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,Black,Offensive weapons,"{'latitude': '51.498328', 'street': {'id': 953294, 'name': 'On or near Abbey Orchard Street'}, 'longitude': '-0.131338'}"
london,10-17,White - English/Welsh/Scottish/Northern Irish/British,Male,White,Offensive weapons,"{'latitude': '51.507569', 'street': {'id': 956649, 'name': 'On or near Waterloo Place'}, 'longitude': '-0.132833'}"
london,25-34,Asian/Asian British - Any other Asian background,Male,Other,Controlled drugs,"{'latitude': '51.492970', 'street': {'id': 953399, 'name': 'On or near Vincent Street'}, 'longitude': '-0.131398'}"
london,10-17,Other ethnic group - Not stated,Male,Asian,Stolen goods,"{'latitude': '51.510893', 'street': {'id': 956463, 'name': 'On or near Rupert Street'}, 'longitude': '-0.132639'}"
london,10-17,Other ethnic group - Not stated,Male,Other,Evidence of offences under the Act,"{'latitude': '51.510953', 'street': {'id': 956560, 'name': 'On or near Nightclub'}, 'longitude': '-0.133012'}"
